"NCM"|"EX"|"DESCRIÇÃO"|"AL_IPI"|"CST_IPI_ENTRADA"|"CST_IPI_SAÍDA"|"CST_PIS_COFINS_ENTRADA"|"CST_PIS_COFINS_SAÍDA"|"CÓDIGO_JUSTIFICATIVA_ENQUADRAMENTO_PIS_COFINS"
"29310076"|""|"Outros compostos organo-inorgânicos - Outros compostos organofosforados - Outros compostos que contenham um átomo de fósforo ligado a um grupo alquila (de C1 a C3), sem outros átomos de carbono"|0|"01"|"51"|""|""|""
"29310077"|""|"Outros compostos organo-inorgânicos - Outros compostos organofosforados - N,N-Dialquil(de C1 a C3)fosforoamidocianidatos de O-alquila (de até C10, incluídos os cicloalquila)"|0|"01"|"51"|""|""|""
"29310079"|""|"Outros compostos organo-inorgânicos - Outros compostos organofosforados - Outros"|0|"01"|"51"|""|""|""
"29310090"|""|"Outros compostos organo-inorgânicos - Outros"|0|"01"|"51"|""|""|""
"29321100"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Compostos cuja estrutura contém um ciclo furano (hidrogenado ou não), não condensado - Tetraidrofurano"|0|"01"|"51"|""|""|""
"29321200"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Compostos cuja estrutura contém um ciclo furano (hidrogenado ou não), não condensado - 2-Furaldeído (furfural)"|0|"01"|"51"|""|""|""
"29321310"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Compostos cuja estrutura contém um ciclo furano (hidrogenado ou não), não condensado - Álcool furfurílico e álcool tetraidrofurfurílico - Álcool furfurílico"|0|"01"|"51"|""|""|""
"29321320"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Compostos cuja estrutura contém um ciclo furano (hidrogenado ou não), não condensado - Álcool furfurílico e álcool tetraidrofurfurílico - Álcool tetraidrofurfurílico"|0|"01"|"51"|""|""|""
"29321910"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Compostos cuja estrutura contém um ciclo furano (hidrogenado ou não), não condensado - Outros - Ranitidina e seus sais"|0|"01"|"51"|""|""|""
"29321920"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Compostos cuja estrutura contém um ciclo furano (hidrogenado ou não), não condensado - Outros - Nafronil"|0|"01"|"51"|""|""|""
"29321930"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Compostos cuja estrutura contém um ciclo furano (hidrogenado ou não), não condensado - Outros - Nitrovin"|0|"01"|"51"|""|""|""
"29321940"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Compostos cuja estrutura contém um ciclo furano (hidrogenado ou não), não condensado - Outros - Bioresmetrina"|0|"01"|"51"|""|""|""
"29321950"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Compostos cuja estrutura contém um ciclo furano (hidrogenado ou não), não condensado - Outros - Diacetato de 5-nitrofurfurilideno (NFDA)"|0|"01"|"51"|""|""|""
"29321990"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Compostos cuja estrutura contém um ciclo furano (hidrogenado ou não), não condensado - Outros - Outros"|0|"01"|"51"|""|""|""
"29322110"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Lactonas - Cumarina, metilcumarinas e etilcumarinas - Cumarina"|0|"01"|"51"|""|""|""
"29322190"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Lactonas - Cumarina, metilcumarinas e etilcumarinas - Outros"|0|"01"|"51"|""|""|""
"29322910"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Lactonas - Outras lactonas - Cumafós (“Coumaphos”)"|0|"01"|"51"|""|""|""
"29322920"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Lactonas - Outras lactonas - Fenolftaleína"|0|"01"|"51"|""|""|""
"29322931"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Lactonas - Outras lactonas - Ivermectina; abamectina; moxidectina - Ivermectina"|0|"01"|"51"|""|""|""
"29322932"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Lactonas - Outras lactonas - Ivermectina; abamectina; moxidectina - Abamectina"|0|"01"|"51"|""|""|""
"29322933"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Lactonas - Outras lactonas - Ivermectina; abamectina; moxidectina - Moxidectina"|0|"01"|"51"|""|""|""
"29322990"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Lactonas - Outras lactonas - Outras"|0|"01"|"51"|""|""|""
"29329100"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - Isossafrol"|0|"01"|"51"|""|""|""
"29329200"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - 1-(1,3-Benzodioxol-5-il)propan-2-ona"|0|"01"|"51"|""|""|""
"29329300"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - Piperonal"|0|"01"|"51"|""|""|""
"29329400"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - Safrol"|0|"01"|"51"|""|""|""
"29329500"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - Tetraidrocanabinóis (todos os isômeros)"|0|"01"|"51"|""|""|""
"29329911"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - Outros - Eucaliptol; quercetina; dinitrato de isossorbida; carbofurano - Eucaliptol"|0|"01"|"51"|""|""|""
"29329912"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - Outros - Eucaliptol; quercetina; dinitrato de isossorbida; carbofurano - Quercetina"|0|"01"|"51"|""|""|""
"29329913"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - Outros - Eucaliptol; quercetina; dinitrato de isossorbida; carbofurano - Dinitrato de isossorbida"|0|"01"|"51"|""|""|""
"29329914"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - Outros - Eucaliptol; quercetina; dinitrato de isossorbida; carbofurano - Carbofurano"|0|"01"|"51"|""|""|""
"29329991"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - Outros - Outros - Cloridrato de amiodarona"|0|"01"|"51"|""|""|""
"29329992"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - Outros - Outros - 1,3,4,6,7,8-Hexaidro-4,6,6,7,8,8-hexametilciclopenta-gama-2-benzopirano"|0|"01"|"51"|""|""|""
"29329993"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - Outros - Outros - Dibenzilideno-sorbitol"|0|"01"|"51"|""|""|""
"29329994"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - Outros - Outros - Carbosulfan ((dibutilaminotio)metilcarbamato de 2,3-diidro-2,2-dimetilbenzofuran-7-ila)"|0|"01"|"51"|""|""|""
"29329999"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio - Outros - Outros - Outros - Outros"|0|"01"|"51"|""|""|""
"29331111"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo pirazol (hidrogenado ou não), não condensado - Fenazona (antipirina) e seus derivados - Ácido 1-fenil-2,3-dimetil-5-pirazolona-4-metilaminometanossulfônico e seus sais - Dipirona"|0|"01"|"51"|""|""|""
"29331112"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo pirazol (hidrogenado ou não), não condensado - Fenazona (antipirina) e seus derivados - Ácido 1-fenil-2,3-dimetil-5-pirazolona-4-metilaminometanossulfônico e seus sais - Magnopirol (“dipirona magnésica”)"|0|"01"|"51"|""|""|""
"29331119"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo pirazol (hidrogenado ou não), não condensado - Fenazona (antipirina) e seus derivados - Ácido 1-fenil-2,3-dimetil-5-pirazolona-4-metilaminometanossulfônico e seus sais - Outros"|0|"01"|"51"|""|""|""
"29331120"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo pirazol (hidrogenado ou não), não condensado - Fenazona (antipirina) e seus derivados - Metileno-bis(4-metilamino-1-fenil-2,3-dimetil)pirazolona"|0|"01"|"51"|""|""|""
"29331190"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo pirazol (hidrogenado ou não), não condensado - Fenazona (antipirina) e seus derivados - Outros"|0|"01"|"51"|""|""|""
"29331911"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo pirazol (hidrogenado ou não), não condensado - Outros - Fenilbutazona e seus sais - Fenilbutazona cálcica"|0|"01"|"51"|""|""|""
"29331919"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo pirazol (hidrogenado ou não), não condensado - Outros - Fenilbutazona e seus sais - Outros"|0|"01"|"51"|""|""|""
"29331990"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo pirazol (hidrogenado ou não), não condensado - Outros - Outros"|0|"01"|"51"|""|""|""
"29332110"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Hidantoína e seus derivados - Iprodiona"|0|"01"|"51"|""|""|""
"29332121"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Hidantoína e seus derivados - Fenitoína e seus sais - Fenitoína e seu sal sódico"|0|"01"|"51"|""|""|""
"29332129"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Hidantoína e seus derivados - Fenitoína e seus sais - Outros"|0|"01"|"51"|""|""|""
"29332190"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Hidantoína e seus derivados - Outros"|0|"01"|"51"|""|""|""
"29332911"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Cuja estrutura contém um ciclo nitroimidazol - 2-Metil-5-nitroimidazol"|0|"01"|"51"|""|""|""
"29332912"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Cuja estrutura contém um ciclo nitroimidazol - Metronidazol e seus sais"|0|"01"|"51"|""|""|""
"29332913"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Cuja estrutura contém um ciclo nitroimidazol - Tinidazol"|0|"01"|"51"|""|""|""
"29332919"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Cuja estrutura contém um ciclo nitroimidazol - Outros"|0|"01"|"51"|""|""|""
"29332921"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Cuja estrutura contém um ciclo benzeno clorado, exceto os que contenham um ciclo nitroimidazol - Econazol e seu nitrato"|0|"01"|"51"|""|""|""
"29332922"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Cuja estrutura contém um ciclo benzeno clorado, exceto os que contenham um ciclo nitroimidazol - Nitrato de miconazol"|0|"01"|"51"|""|""|""
"29332923"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Cuja estrutura contém um ciclo benzeno clorado, exceto os que contenham um ciclo nitroimidazol - Cloridrato de clonidina"|0|"01"|"51"|""|""|""
"29332924"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Cuja estrutura contém um ciclo benzeno clorado, exceto os que contenham um ciclo nitroimidazol - Nitrato de isoconazol"|0|"01"|"51"|""|""|""
"29332925"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Cuja estrutura contém um ciclo benzeno clorado, exceto os que contenham um ciclo nitroimidazol - Clotrimazol"|0|"01"|"51"|""|""|""
"29332929"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Cuja estrutura contém um ciclo benzeno clorado, exceto os que contenham um ciclo nitroimidazol - Outros"|0|"01"|"51"|""|""|""
"29332930"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Cimetidina e seus sais"|0|"01"|"51"|""|""|""
"29332940"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - 4-Metil-5-hidroximetilimidazol e seus sais"|0|"01"|"51"|""|""|""
"29332991"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Outros - Imidazol"|0|"01"|"51"|""|""|""
"29332992"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Outros - Histidina e seus sais"|0|"01"|"51"|""|""|""
"29332993"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Outros - Ondansetron e seus sais"|0|"01"|"51"|""|""|""
"29332994"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Outros - 1-Hidroxietil-2-undecanoilimidazolina"|0|"01"|"51"|""|""|""
"29332995"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Outros - 1-Hidroxietil-2-(8-heptadecenoil)imidazolina"|0|"01"|"51"|""|""|""
"29332999"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não), não condensado - Outros - Outros - Outros"|0|"01"|"51"|""|""|""
"29333110"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Piridina e seus sais - Piridina"|0|"01"|"51"|""|""|""
"29333120"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Piridina e seus sais - Sais"|0|"01"|"51"|""|""|""
"29333200"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Piperidina e seus sais"|0|"01"|"51"|""|""|""
"29333311"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Alfentanil e anileridina; sais destes produtos - Alfentanil"|0|"01"|"51"|""|""|""
"29333312"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Alfentanil e anileridina; sais destes produtos - Anileridina"|0|"01"|"51"|""|""|""
"29333319"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Alfentanil e anileridina; sais destes produtos - Outros"|0|"01"|"51"|""|""|""
"29333321"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Bezitramida e bromazepam; sais destes produtos - Bezitramida"|0|"01"|"51"|""|""|""
"29333322"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Bezitramida e bromazepam; sais destes produtos - Bromazepam"|0|"01"|"51"|""|""|""
"29333329"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Bezitramida e bromazepam; sais destes produtos - Outros"|0|"01"|"51"|""|""|""
"29333330"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Cetobemidona e seus sais"|0|"01"|"51"|""|""|""
"29333341"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Difenoxilato e seus sais - Difenoxilato"|0|"01"|"51"|""|""|""
"29333342"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Difenoxilato e seus sais - Cloridrato de difenoxilato"|0|"01"|"51"|""|""|""
"29333349"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Difenoxilato e seus sais - Outros"|0|"01"|"51"|""|""|""
"29333351"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Difenoxina e dipipanona; sais destes produtos - Difenoxina"|0|"01"|"51"|""|""|""
"29333352"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Difenoxina e dipipanona; sais destes produtos - Dipipanona"|0|"01"|"51"|""|""|""
"29333359"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Difenoxina e dipipanona; sais destes produtos - Outros"|0|"01"|"51"|""|""|""
"29333361"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Fenciclidina, fenoperidina e fentanil; sais destes produtos - Fenciclidina"|0|"01"|"51"|""|""|""
"29333362"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Fenciclidina, fenoperidina e fentanil; sais destes produtos - Fenoperidina"|0|"01"|"51"|""|""|""
"29333363"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Fenciclidina, fenoperidina e fentanil; sais destes produtos - Fentanil"|0|"01"|"51"|""|""|""
"29333369"|""|"Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio - Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não), não condensado - Alfentanil (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanil (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) e trimeperidina (DCI); sais destes produtos - Fenciclidina, fenoperidina e fentanil; sais destes produtos - Outros"|0|"01"|"51"|""|""|""
