"NCM"|"EX"|"DESCRIÇÃO"|"AL_IPI"|"CST_IPI_ENTRADA"|"CST_IPI_SAÍDA"|"CST_PIS_COFINS_ENTRADA"|"CST_PIS_COFINS_SAÍDA"|"CÓDIGO_JUSTIFICATIVA_ENQUADRAMENTO_PIS_COFINS"
"02044300"|""|"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas - Outras carnes de animais da espécie ovina, congeladas - Desossadas"|0|"01"|"51"|""|""|""
"02045000"|""|"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas - Carnes de animais da espécie caprina"|0|"01"|"51"|""|""|""
"02050000"|""|"Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas"|0|"01"|"51"|""|""|""
"02061000"|""|"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas - Da espécie bovina, frescas ou refrigeradas"|0|"01"|"51"|""|""|""
"02062100"|""|"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas - Da espécie bovina, congeladas - Línguas"|0|"01"|"51"|""|""|""
"02062200"|""|"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas - Da espécie bovina, congeladas - Fígados"|0|"01"|"51"|""|""|""
"02062910"|""|"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas - Da espécie bovina, congeladas - Outras - Rabos"|0|"01"|"51"|""|""|""
"02062990"|""|"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas - Da espécie bovina, congeladas - Outras - Outros"|0|"01"|"51"|""|""|""
"02063000"|""|"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas - Da espécie suína, frescas ou refrigeradas"|0|"01"|"51"|"72"|"09"|"209"
"02064100"|""|"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas - Da espécie suína, congeladas - Fígados"|0|"01"|"51"|"72"|"09"|"209"
"02064900"|""|"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas - Da espécie suína, congeladas - Outras"|0|"01"|"51"|"72"|"09"|"209"
"02068000"|""|"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas - Outras, frescas ou refrigeradas"|0|"01"|"51"|""|""|""
"02069000"|""|"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas - Outras, congeladas"|0|"01"|"51"|""|""|""
"02071100"|""|"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De galos ou de galinhas - Não cortadas em pedaços, frescas ou refrigeradas"|0|"01"|"51"|"72"|"09"|"209"
"02071200"|""|"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De galos ou de galinhas - Não cortadas em pedaços, congeladas"|0|"01"|"51"|"72"|"09"|"209"
