"NBS"|"DESCRIÇÃO"|"AL_IBPT_NACIONAL"|"AL_IBPT_INTERNACIONAL"
"119029000"|"Outros serviços de apoio à mineração"|18.32|18.92
"119031100"|"Serviços de apoio à transmissão de eletricidade"|13.45|14.05
"119031200"|"Serviços de apoio à distribuição de eletricidade"|13.45|14.05
"119032000"|"Serviços de apoio à distribuição de gás por meio de tubulações"|13.45|14.05
"119033000"|"Serviços de apoio à distribuição de água"|13.45|14.05
"119034000"|"Serviços de apoio à distribuição de ar condicionado, água quente e vapor por meio de tubulações"|13.45|14.05
"120011000"|"Serviços de manutenção e reparação de produtos metálicos"|18.05|18.65
"120012000"|"Serviços de manutenção e reparação de computadores e seus periféricos e maquinário de escritório"|16.81|17.41
"120013100"|"Serviços de manutenção e reparação de veículos automotores rodoviários"|18.05|18.65
"120013200"|"Serviços de manutenção e reparação de reboques (trailers), semirreboques (semi-trailers) e outros veículos não motorizados"|18.05|18.65
"120013300"|"Serviços de manutenção e reparação de veículos militares"|18.05|18.65
"120013911"|"Serviços de manutenção e reparação de motores, turborreatores e turbopropulsores aeronáuticos"|18.45|19.05
"120013912"|"Serviços de manutenção e reparação     de foguetes e equipamentos aeroespaciais"|18.05|18.65
"120013919"|"Outros serviços de manutenção e reparação de aeronaves"|18.05|18.65
"120013921"|"Serviços de manutenção e reparação de embarcações militares"|18.05|18.65
"120013929"|"Outros serviços de manutenção e reparação de embarcações"|18.05|18.65
"120013930"|"Serviços de manutenção e reparação de equipamentos ferroviários e metroviários"|18.05|18.65
"120013990"|"Outros serviços de manutenção e reparação de outros equipamentos de transporte"|18.05|18.65
"120014000"|"Serviços de manutenção e reparação de plataformas, inclusive navios- plataforma, para extração de petróleo e gás"|18.05|18.65
"120015100"|"Serviços de manutenção e reparação de aparelhos eletro-eletrônicos domésticos"|18.25|18.85
"120015200"|"Serviços de manutenção e reparação de equipamentos e aparelhos de telecomunicações"|18.25|18.85
"120015300"|"Serviços de manutenção e reparação de instrumentos e equipamentos médico-hospitalares, odontológicos, óticos e de precisão"|18.25|18.85
"120015400"|"Serviços de manutenção e reparação de equipamentos militares"|18.25|18.85
"120015910"|"Serviços de manutenção e reparação de turbinas industriais"|18.05|18.65
"120015990"|"Outros serviços de manutenção e reparação de maquinário e equipamentos"|18.05|18.65
"120021000"|"Serviços de reparação de produtos de couro, calçados, malas e bolsas"|18.01|18.61
"120022000"|"Serviços de reparação de relógios e jóias"|18.31|18.91
"120023000"|"Serviços de reparação de móveis"|18.45|19.05
"120029000"|"Outros serviços de manutenção e reparação de outros bens de consumo"|18.41|19.01
"120031000"|"Serviços de instalação de produtos metálicos"|18.45|19.05
"120032100"|"Serviços de montagem sob encomenda de turbinas industriais"|18.45|19.05
"120032900"|"Outros serviços de instalação de maquinário e equipamentos, industriais"|18.45|19.05
"120033000"|"Serviços de instalação de computadores e seus periféricos e maquinário de escritório"|16.81|17.41
"120034000"|"Serviços de instalação de equipamentos e aparelhos de comunicação, incluindo de rádio e de televisão"|18.45|19.05
"120035000"|"Serviços de instalação de maquinários, equipamentos, instrumentos e aparelhos médico-hospitalares, óticos e de precisão"|18.45|19.05
"120036000"|"Serviços de instalação de sensores e sistemas de armas"|18.45|19.05
"120037000"|"Serviços de instalação de maquinários e equipamentos de emprego militar"|18.45|19.05
"120038010"|"Serviços de montagem sob encomenda de motores, turborreatores e turbopropulsores aeronáuticos"|18.45|19.05
"120038090"|"Outros serviços de instalação de equipamentos e aparelhos de transporte"|18.45|19.05
"120039000"|"Serviços de instalação de maquinário e aparelhos não classificados em outra posição"|18.45|19.05
"121011000"|"Serviços editoriais"|17.75|18.35
"121012100"|"Serviços de impressão"|17.75|18.35
"121012200"|"Serviços relacionados à impressão"|17.75|18.35
"121012300"|"Serviços de reprodução de mídia gravada"|17.75|18.35
"121013000"|"Serviços de apoio aos serviços de reprodução, impressão e editoração"|17.75|18.35
"121019000"|"Outros serviços de reprodução, impressão e editoração"|17.75|18.35
"122011100"|"Serviços de creches ou de entidades equivalentes, para crianças de até três anos de idade"|16.14|16.74
"122011200"|"Serviços de pré-escola, para crianças de quatro a cinco anos e onze meses de idade"|16.14|16.74
"122011900"|"Outros serviços de educação infantil"|16.14|16.74
"122012000"|"Serviços de ensino fundamental"|16.14|16.74
"122013000"|"Serviços de ensino médio"|16.14|16.74
"122020000"|"Serviços de educação técnica de nível médio"|16.14|16.74
"122031000"|"Serviços de alfabetização de jovens e adultos"|16.14|16.74
"122032000"|"Serviços de ensino fundamental de jovens e adultos"|16.14|16.74
"122033000"|"Serviços de ensino médio de jovens e adultos"|16.14|16.74
"122041000"|"Serviços educacionais de graduação"|16.14|16.74
"122042000"|"Serviços educacionais de pós-graduação"|16.14|16.74
"122043000"|"Serviços educacionais de extensão"|16.14|16.74
"122044000"|"Serviços educacionais de cursos sequenciais"|16.14|16.74
"122050000"|"Serviços de educação especial"|16.14|16.74
"122061100"|"Serviços culturais, com enfoque educacional"|16.57|17.17
"122061200"|"Serviços de educação desportiva e recreacional"|16.57|17.17
"122061300"|"Serviços de educação em línguas estrangeiras"|16.57|17.17
"122061910"|"Serviços de palestras e conferências"|16.57|17.17
"122061990"|"Outros serviços de educação e treinamento"|16.57|17.17
"122062000"|"Serviços de apoio aos serviços educacionais"|16.57|17.17
"123011100"|"Serviços cirúrgicos"|16.45|17.05
"123011200"|"Serviços ginecológicos e obstétricos"|16.33|16.93
"123011300"|"Serviços psiquiátricos"|16.34|16.94
"123011400"|"Serviços cardiológicos"|17.90|18.50
"123011500"|"Serviços oncológicos"|16.31|16.91
"123011600"|"Serviços aos recém-nascidos"|15.72|16.32
"123011700"|"Serviços de ambulâncias, exceto de ambulâncias destinadas unicamente para a remoção de enfermos, sem envolver atendimento médico ao paciente"|16.33|16.93
"123011800"|"Serviços prestados em unidades de terapia intensiva"|16.33|16.93
"123011910"|"Serviços de atendimento de urgência"|15.72|16.32
"123011920"|"Serviços conexos à saúde pública"|15.72|16.32
"123011990"|"Outros serviços hospitalares"|15.72|16.32
"123012100"|"Serviços de clínica médica"|15.72|16.32
"123012200"|"Serviços médicos especializados"|16.79|17.39
"123012300"|"Serviços odontológicos"|16.30|16.90
"123019100"|"Serviços de enfermagem"|16.32|16.92
"123019200"|"Serviços fisioterapêuticos"|16.33|16.93
"123019300"|"Serviços laboratoriais"|15.72|16.32
"123019400"|"Serviços de diagnóstico por imagem"|16.33|16.93
"123019500"|"Serviços de bancos de órgãos, esperma e sangue"|16.32|16.92
"123019600"|"Serviços de bancos de leite, tecidos, olhos, ossos, óvulos e outros materiais biológicos"|16.32|16.92
"123019900"|"Outros serviços de saúde humana, exceto os serviços hospitalares"|16.35|16.95
"123021000"|"Serviços de consultoria em saúde"|13.45|14.05
"123029000"|"Outros serviços de gestão hospitalar"|13.45|14.05
"123030000"|"Serviços domiciliares de apoio a idosos, crianças, adolescentes, pessoas com transtornos mentais e com deficiências"|15.72|16.32
"123040000"|"Serviços de apoio a idosos, crianças, adolescentes, pessoas com transtornos mentais e com deficiências, exceto domiciliar"|15.72|16.32
"123051100"|"Serviços de atenção integral à família"|15.72|16.32
"123051200"|"Serviços de convivência para crianças, adolescentes, jovens e idosos"|16.04|16.64
"123051300"|"Serviços de apoio a autonomia e convivência familiar e comunitária"|15.72|16.32
"123051900"|"Outros serviços de proteção social básica"|17.08|17.68
"123052100"|"Serviços de acolhida para adultos e idosos em albergues, abrigos ou moradias provisórias"|15.72|16.32
"123052200"|"Serviços de acolhida para crianças e adolescentes em repúblicas, casas de acolhida, abrigos ou com “família acolhedora”"|15.72|16.32
"123052300"|"Serviços especiais de referência para pessoas com necessidades especiais, em situação de abandono, vítimas de negligência, abusos e formas de violência"|15.72|16.32
"123052400"|"Serviços de apoio a situações de risco circunstanciais em decorrência de calamidades públicas e emergenciais"|15.72|16.32
"123052500"|"Serviços especiais de referência para adolescentes em cumprimento de medida socioeducativa de liberdade assistida e de prestação de serviços a comunidade"|15.72|16.32
"123052910"|"Serviços de reabilitação vocacional"|15.72|16.32
"123052990"|"Outros serviços de assistência social"|15.72|16.32
"123060000"|"Serviços de planos privados de assistência à saúde"|16.30|16.90
"124010000"|"Serviços de tratamento de água"|13.45|14.05
"124021000"|"Serviços de esgoto e tratamento de esgotos"|13.45|14.05
"124022000"|"Serviços de esvaziamento e limpeza de fossas sépticas"|13.45|14.05
"124031000"|"Serviços de coleta de resíduos sólidos perigosos, exceto de serviços de saúde"|18.33|18.93
"124032000"|"Serviços de coleta de resíduos de serviços de saúde"|18.33|18.93
"124033100"|"Serviços de coleta de resíduos sólidos de origem doméstica, comercial e de varrição"|18.33|18.93
"124033200"|"Serviços de coleta de resíduos sólidos de origem industrial"|18.33|18.93
"124033300"|"Serviços de coleta de resíduos sólidos recicláveis"|18.33|18.93
"124033900"|"Serviços de coleta de outros resíduos sólidos não perigosos, inertes ou não inertes"|18.33|18.93
"124034000"|"Serviços de coleta de resíduos líquidos"|18.33|18.93
"124039000"|"Outros serviços de coleta de resíduos"|18.33|18.93
"124041000"|"Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos sólidos perigosos, exceto os resíduos de serviços de saúde"|18.33|18.93
"124042000"|"Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos de serviços de saúde"|18.33|18.93
"124043100"|"Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos de origem doméstica, comercial e de varrição"|18.33|18.93
"124043200"|"Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos sólidos de origem industrial"|18.33|18.93
"124043300"|"Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos sólidos recicláveis"|18.33|18.93
"124043900"|"Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos sólidos não perigosos, inertes ou não inertes"|18.33|18.93
"124044000"|"Serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos líquidos"|18.33|18.93
"124049000"|"Outros serviços de triagem, preparação, consolidação, estocagem e outros tratamentos e disposição de resíduos"|18.33|18.93
"124051000"|"Serviços de varrição de ruas e outros locais públicos"|18.33|18.93
"124059000"|"Outros serviços de saneamento"|18.33|18.93
"124061000"|"Serviços ambientais relacionados à água"|18.31|18.91
"124062000"|"Serviços ambientais relacionados ao solo"|18.40|19.00
"124063000"|"Serviços ambientais relacionados ao ar"|13.45|14.05
"124069000"|"Outros serviços ambientais"|13.45|14.05
"124071100"|"Serviços de remediação do ar"|13.45|14.05
"124071200"|"Serviços de remediação de águas de superfície"|13.45|14.05
"124071300"|"Serviços de remediação do solo e águas subterrâneas"|13.45|14.05
"124071400"|"Serviços de remediação em edificações"|13.45|14.05
"124072000"|"Serviços de monitoração, controle e contenção"|13.45|14.05
"124079000"|"Outros serviços de remediação"|13.45|14.05
"125011100"|"Serviços de gravação de som em estúdio"|18.45|19.05
"125011200"|"Serviços de gravação de som ao vivo"|18.45|19.05
"125012100"|"Serviços de produção de programas de televisão, videoteipes e filmes"|17.88|18.48
"125012200"|"Serviços de produção de programas de rádio"|17.88|18.48
"125013100"|"Serviços de edição de obras audiovisuais"|18.45|19.05
"125013200"|"Serviços de duplicação e transferência de obras audiovisuais"|18.45|19.05
"125013300"|"Serviços de correção de cor e restauração digital de obras audiovisuais"|18.45|19.05
"125013400"|"Serviços de efeitos visuais em obras audiovisuais"|18.45|19.05
"125013500"|"Serviços de animação"|18.45|19.05
"125013600"|"Serviços de legendas, títulos e dublagem em obras audiovisuais"|18.45|19.05
"125013700"|"Serviços de projeto e edição de som em obras audiovisuais"|18.45|19.05
"125013900"|"Outros serviços de pós-produção em obras audiovisuais"|18.45|19.05
"125014000"|"Serviços de agenciamento pela comercialização de obras audiovisuais"|18.45|19.05
"125015000"|"Serviços de projeção de filmes"|18.26|18.86
"125021000"|"Serviços de organização e promoção de atuações artísticas ao vivo"|17.54|18.14
"125022000"|"Serviços de produção e apresentação de atuações artísticas ao vivo"|17.58|18.18
"125023000"|"Serviços de apoio para atuações artísticas ao vivo"|18.08|18.68
"125029000"|"Outros serviços de entretenimento artístico ao vivo"|18.08|18.68
"125031000"|"Serviços de atuação artística"|18.12|18.72
"125032000"|"Serviços de autores, compositores, escultores, pintores e outros artistas, inclusive as obras inéditas, exceto os de atuação artística"|17.85|18.45
"125041100"|"Serviços de museus"|18.45|19.05
"125041200"|"Serviços de preservação e operação de locais e construções históricas"|13.45|14.05
"125042100"|"Serviços de jardins botânico e zoológico"|17.65|18.25
"125042200"|"Serviços de reserva natural, incluindo preservação de vida selvagem"|13.45|14.05
"125051100"|"Serviços de organização e promoção de eventos desportivos e recreacionais desportivos"|18.45|19.05
"125051200"|"Serviços de clubes desportivos"|17.85|18.45
"125059000"|"Outros serviços de desportes e de recreação desportiva"|18.45|19.05
"125060000"|"Serviços fornecidos por atletas e desportistas, por conta própria, e serviços de apoio relacionados com desportes e recreação desportiva"|13.45|14.05
"125071000"|"Serviços de parques de diversões e atrações similares"|17.13|17.73
"125079000"|"Outros serviços recreacionais e de diversão"|18.24|18.84
"126011000"|"Serviços de limpeza de têxteis, exceto quando realizados a seco"|18.45|19.05
"126012000"|"Serviços de limpeza a seco"|18.45|19.05
"126013000"|"Serviços de tinturaria"|18.45|19.05
"126019000"|"Outros serviços de lavanderia"|18.45|19.05
"126021000"|"Serviços de cabelereiros e barbeiros"|18.45|19.05
"126022000"|"Serviços de manicure, pedicure e tratamento cosmético"|18.45|19.05
"126023000"|"Serviços de bem estar físico"|18.16|18.76
"126029000"|"Outros tratamentos de beleza"|18.45|19.05
"126030000"|"Serviços funerários, de cremação e de embalsamamento"|18.45|19.05
"126040000"|"Outros serviços pessoais"|18.45|19.05
"127011000"|"Cessão de direitos de obras literárias"|18.29|18.89
"127012000"|"Cessão de direitos sobre programas de computador"|16.37|16.97
"127013100"|"Cessão de direitos de obras cinematográficas"|18.29|18.89
"127013200"|"Cessão de direitos de obras jornalísticas"|18.29|18.89
"127013300"|"Cessão de direitos de obras publicitárias"|18.29|18.89
"127013900"|"Cessão de direitos de outras obras audiovisuais"|18.29|18.89
"127014000"|"Cessão de direitos de obras musicais e outros fonogramas"|18.29|18.89
"127015000"|"Cessão de direitos relacionados à radiodifusão"|18.29|18.89
"127019000"|"Cessão de outros direitos de autor e outros direitos conexos"|18.29|18.89
"127021000"|"Cessão de direitos sobre patentes"|18.29|18.89
"127022000"|"Cessão de direitos sobre marcas"|18.29|18.89
"127023000"|"Cessão de direitos sobre desenho industrial"|18.29|18.89
"127029000"|"Cessão de outros direitos sobre a propriedade intelectual"|18.29|18.89
"127030000"|"Cessão de direitos sobre cultivares"|18.29|18.89
"127040000"|"Cessão de direitos sobre topografias de circuitos integrados"|18.29|18.89
"127050000"|"Cessão de direitos relativos à informação não divulgada"|18.29|18.89
"127060000"|"Cessão de outros direitos de propriedade intelectual não classificados em nenhuma das posições anteriores"|18.29|18.89
