"NBS"|"DESCRIÇÃO"|"AL_IBPT_NACIONAL"|"AL_IBPT_INTERNACIONAL"
"104032100"|"Serviços de transporte interestadual, inclusive interestadual semiurbano, por navegação interior, de passageiros por embarcações para travessia"|16.06|16.66
"104032200"|"Serviços de transporte interestadual, inclusive interestadual semiurbano, por navegação interior, de passageiros por embarcações para cruzeiros"|16.06|16.66
"104032300"|"Serviços de transporte, nacional ou internacional, de passageiros por embarcações para cruzeiros"|16.06|16.66
"104032900"|"Outros serviços de transporte interestadual, inclusive interestadual semiurbano, aquaviário de passageiros"|16.06|16.66
"104041100"|"Serviços de transporte aéreo doméstico de passageiros"|16.06|16.66
"104041200"|"Serviços de transporte aéreo internacional de passageiros"|16.06|16.66
"104042000"|"Serviços de transporte aéreo por fretamento"|16.06|16.66
"104049100"|"Serviços de táxi aéreo"|16.06|16.66
"104049900"|"Outros serviços de transporte aéreo de passageiros"|16.06|16.66
"105011110"|"Serviços de transporte rodoviário de cargas sólidas a granel"|16.06|16.66
"105011120"|"Serviços de transporte rodoviário de cargas líquidas ou liquefeitas, a granel"|16.06|16.66
"105011130"|"Serviços de transporte rodoviário de cargas gasosas a granel"|16.06|16.66
"105011200"|"Serviços de transporte rodoviário de cargas vivas"|16.06|16.66
"105011310"|"Serviços de transporte rodoviário de carga solta, não unitizada."|16.06|16.66
"105011320"|"Serviços de transporte rodoviário de carga unitizada, exceto de contêineres"|16.06|16.66
"105011410"|"Serviços de transporte rodoviário de cargas frigorificadas ou climatizadas"|16.06|16.66
"105011490"|"Serviços de transporte rodoviário de outros tipos de contêineres"|16.06|16.66
"105011500"|"Serviços de transporte rodoviário de mudanças domésticas, de mobília de escritório e de outros objetos"|16.06|16.66
"105011600"|"Serviços de transporte rodoviário de cargas especiais e de grande porte"|16.06|16.66
"105011700"|"Serviços de transporte rodoviário de veículos"|16.06|16.66
"105011810"|"Serviços de transporte rodoviário de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos"|16.06|16.66
"105011820"|"Serviços de transporte rodoviário de produtos químicos perigosos"|16.06|16.66
"105011890"|"Serviços de transporte rodoviário de outros produtos perigosos"|16.06|16.66
"105011900"|"Outros tipos de carga dos serviços de transporte rodoviário"|16.06|16.66
"105012110"|"Serviços de transporte ferroviário de cargas sólidas a granel"|16.06|16.66
"105012120"|"Serviços de transporte ferroviário de cargas líquidas ou liquefeitas, a granel"|16.06|16.66
"105012130"|"Serviços de transporte ferroviário de cargas gasosas a granel"|16.06|16.66
"105012200"|"Serviços de transporte ferroviário de cargas vivas"|16.06|16.66
"105012310"|"Serviços de transporte ferroviário de carga solta, não unitizada"|16.06|16.66
"105012320"|"Serviços de transporte ferroviário de carga unitizada, exceto de contêineres"|16.06|16.66
"105012330"|"Serviços de transporte ferroviário de bens e valores"|16.06|16.66
"105012410"|"Serviços de transporte ferroviário de cargas frigorificadas ou climatizadas"|16.06|16.66
"105012490"|"Serviços de transporte ferroviário de outros tipos de contêineres"|16.06|16.66
"105012510"|"Serviços de transporte ferroviário de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos"|16.06|16.66
"105012520"|"Serviços de transporte ferroviário de produtos químicos perigosos"|16.06|16.66
"105012530"|"Serviços de transporte ferroviário de armamentos militares e munições"|16.06|16.66
"105012540"|"Serviços de transporte ferroviários de fundidos em estado líquido"|16.06|16.66
"105012550"|"Serviços de transporte ferroviários de material radioativo"|16.06|16.66
"105012590"|"Serviços de transporte ferroviário de outros produtos perigosos"|16.06|16.66
"105012900"|"Outros tipos de carga do serviços de transporte ferroviário"|16.06|16.66
"105013100"|"Serviços de transporte de petróleo, gás natural e combustível"|16.06|16.66
"105013200"|"Serviços de transporte de minérios"|16.06|16.66
"105013900"|"Serviços de transporte de outras mercadorias"|16.06|16.66
"105021110"|"Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas sólidas, a granel"|16.06|16.66
"105021120"|"Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas líquidas ou liquefeitas, a granel"|16.06|16.66
"105021130"|"Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas gasosas a granel"|16.06|16.66
"105021200"|"Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas vivas"|16.06|16.66
"105021310"|"Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de carga solta, não unitizada"|16.06|16.66
"105021320"|"Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de carga unitizada, exceto de contêineres"|16.06|16.66
"105021410"|"Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas frigorificadas ou climatizadas"|16.06|16.66
"105021490"|"Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de outros tipos de contêineres"|16.06|16.66
"105021500"|"Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de mudanças domésticas, de mobília de escritório e de outros objetos"|16.06|16.66
"105021600"|"Serviços de transporte aquaviário de navegação de cabotagem e de"|16.06|16.66
"105021700"|"Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de veículos"|16.06|16.66
"105021810"|"Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos"|16.06|16.66
"105021820"|"Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de produtos químicos perigosos"|16.06|16.66
"105021890"|"Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de outros produtos perigosos"|16.06|16.66
"105021900"|"Outros tipos de carga dos serviços de transporte aquaviário de navegação de cabotagem e de longo curso"|16.06|16.66
"105022110"|"Serviços de transporte aquaviário por navegação interior de cargas sólidas, a granel"|16.06|16.66
"105022120"|"Serviços de transporte aquaviário por navegação interior de cargas líquidas ou liquefeitas, a granel"|16.06|16.66
"105022130"|"Serviços de transporte aquaviário por navegação interior de cargas gasosas a granel"|16.06|16.66
"105022200"|"Serviços de transporte aquaviário por navegação interior de cargas vivas"|16.06|16.66
"105022310"|"Serviços de transporte aquaviário por navegação interior de carga solta, não unitizada"|16.06|16.66
"105022320"|"Serviços de transporte aquaviário por navegação interior de carga unitizada, exceto de contêineres"|16.06|16.66
"105022410"|"Serviços de transporte aquaviário por navegação interior de cargas frigorificadas ou climatizadas"|16.06|16.66
"105022490"|"Serviços de transporte aquaviário por navegação interior de outros tipos de contêineres"|16.06|16.66
"105022500"|"Serviços de transporte aquaviário por navegação interior de mudanças domésticas, de mobília de escritório e de outros objetos"|16.06|16.66
"105022600"|"Serviços de transporte aquaviário por navegação interior      de cargas especiais e de grande porte"|16.06|16.66
"105022700"|"Serviços de transporte aquaviário por navegação interior de veículos"|16.06|16.66
